               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.033504,              0.0351,            0.020463,             0.85225,             0.63002,             0.73005,             0.52325,            0.027605,            0.021308,           0.0095232,           0.0099545,           0.0099545,           0.0099545
                  48,            0.031729,            0.032472,            0.018988,             0.86408,             0.63795,             0.73859,              0.5461,            0.026773,            0.020968,           0.0093846,           0.0099535,           0.0099535,           0.0099535
                  49,            0.031836,            0.032945,            0.017437,             0.87894,             0.62666,             0.73881,             0.53049,            0.028078,              0.0213,           0.0093809,           0.0099525,           0.0099525,           0.0099525
                  50,            0.030377,            0.031451,            0.018689,             0.86483,             0.63185,             0.75113,             0.55568,            0.026777,            0.020537,            0.008997,           0.0099515,           0.0099515,           0.0099515
                  51,            0.032812,            0.033668,            0.019072,             0.86872,             0.63839,             0.74125,             0.54381,             0.02653,            0.020736,           0.0088809,           0.0099505,           0.0099505,           0.0099505
                  52,            0.031958,            0.031861,            0.017401,             0.85547,             0.64187,             0.73816,             0.55263,             0.02773,            0.020709,           0.0088501,           0.0099495,           0.0099495,           0.0099495
                  53,            0.032827,            0.030332,            0.018392,             0.87454,             0.63662,             0.74355,             0.54063,            0.027722,            0.020677,           0.0085778,           0.0099485,           0.0099485,           0.0099485
                  54,            0.031961,            0.030668,            0.019794,             0.89754,             0.63416,             0.75551,             0.55551,            0.026808,            0.020641,           0.0087085,           0.0099475,           0.0099475,           0.0099475
                  55,             0.03025,            0.031712,            0.017403,             0.87251,             0.64353,             0.76579,             0.55933,             0.02627,             0.02009,           0.0083526,           0.0099465,           0.0099465,           0.0099465
                  56,            0.032645,            0.032384,             0.01751,             0.87529,             0.63766,             0.77246,               0.563,            0.026752,            0.020577,            0.008402,           0.0099456,           0.0099456,           0.0099456
                  57,            0.031995,            0.031798,            0.017731,             0.87508,             0.64568,             0.77097,             0.56079,             0.02669,            0.020531,           0.0081511,           0.0099446,           0.0099446,           0.0099446
