               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.029454,            0.025572,            0.015791,             0.92615,             0.67677,             0.77654,             0.58579,            0.023992,            0.016399,           0.0062444,           0.0098753,           0.0098753,           0.0098753
                  65,            0.029538,            0.025584,            0.015142,             0.88194,             0.70362,             0.77765,             0.59482,            0.023457,            0.016129,           0.0062898,           0.0098733,           0.0098733,           0.0098733
                  66,            0.029623,             0.02596,            0.015042,             0.92677,             0.67396,             0.77768,             0.58932,            0.024131,            0.016566,           0.0064684,           0.0098713,           0.0098713,           0.0098713
                  67,             0.02888,            0.026373,            0.014397,             0.92562,             0.68022,             0.78845,             0.60841,            0.023437,            0.016302,           0.0061552,           0.0098693,           0.0098693,           0.0098693
                  68,            0.030038,            0.026465,            0.016169,             0.92466,             0.68347,             0.78486,             0.58816,            0.024003,            0.016075,           0.0061368,           0.0098674,           0.0098674,           0.0098674
                  69,            0.030235,            0.025864,            0.015097,             0.90605,             0.69377,             0.78314,             0.59358,            0.023768,            0.016221,           0.0062514,           0.0098654,           0.0098654,           0.0098654
                  70,            0.029985,            0.027047,            0.015297,             0.90434,             0.69644,             0.77782,             0.59323,            0.023547,            0.015993,           0.0060178,           0.0098634,           0.0098634,           0.0098634
                  71,            0.029554,            0.026006,            0.014514,             0.91856,             0.69134,             0.77368,             0.59431,            0.023062,            0.015957,           0.0060631,           0.0098614,           0.0098614,           0.0098614
                  72,            0.030329,            0.025393,            0.014544,             0.90309,             0.69748,             0.78153,             0.58238,            0.024042,            0.016108,           0.0059813,           0.0098594,           0.0098594,           0.0098594
                  73,            0.029112,            0.025492,            0.015278,             0.92099,             0.69112,              0.7823,             0.60389,            0.023231,            0.015808,            0.005937,           0.0098575,           0.0098575,           0.0098575
                  74,            0.029893,            0.026066,            0.014356,             0.92551,             0.68141,             0.77145,              0.5881,             0.02333,            0.015727,           0.0060648,           0.0098555,           0.0098555,           0.0098555
                  75,            0.030082,            0.026122,            0.014919,             0.91968,             0.69483,             0.77996,             0.60653,            0.023196,            0.015781,           0.0057782,           0.0098535,           0.0098535,           0.0098535
                  76,            0.029026,            0.026107,            0.014635,             0.90646,             0.70097,             0.78288,             0.59977,            0.023256,             0.01567,           0.0056309,           0.0098515,           0.0098515,           0.0098515
                  77,            0.029355,            0.025659,            0.014366,             0.92164,             0.69251,             0.79592,             0.60523,             0.02391,            0.015879,            0.005562,           0.0098496,           0.0098496,           0.0098496
                  78,            0.029343,            0.026472,            0.014268,             0.92548,             0.69189,             0.79433,             0.61549,            0.022034,            0.015522,           0.0057669,           0.0098476,           0.0098476,           0.0098476
                  79,             0.02935,            0.026137,            0.013754,             0.92232,             0.69373,             0.79218,             0.60638,            0.023796,            0.015852,           0.0054933,           0.0098456,           0.0098456,           0.0098456
